name,prompt,negative_prompt
Krean Doll,"best quality, ultra high res, (photorealistic:1.4), 1girl, brown blazer, black skirt, glasses, thighhighs, ((school uniform)), (upper body), (Kpop idol), (aegyo sal:1), (platinum blonde hair:1), ((puffy eyes)), looking at viewer, facing front, smiling, laughing, ","paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glan,"
Negative,,"(Multiple people:0.5),lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit,"
test,"best quality, ultra high res, 1girl, looking at viewer, facing front","badhandv4, putnegative, verybadimagenegative_v1.3, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glan,"
PRT,"long blonde hair,(one side up:1.2), blue eyes, detailed eyes, large breasts",""
mazi,"medium hair, hairclip, swept bangs,(french braid:1.2), silver hair, white hair, purple eyes, white hair ornament, flat chest, long sleeves, sharp eyes",""
yexiaojie,"twintails,(lower abdomen tattoo),(long hair, blue hair), blunt bangs, heart hair ornament, pink eyes, heart-shaped eyes",""
tentacle,"cthulhu,(center opening:1.3),(circles of spiral tentacles twisted and intertwined with a surface surrounded by (many mucus):1.3)",""
apron,"naked apron, cleavage dress, no panties, no bra",""
hand,"outstretched hand,[expressionless:smile:0.8],(✋:1.2), bare shoulders,(night:0.8),(dark forest,skeletons:0.4)",""
water,"blush with shame, sitting on stone, water, leaves, the light shines in the forest, open mouth, raise eyebrows, underarm, hands behind head",""

